file_urls,type,product,eans,thumb,url,source,brand,product_lang,model
https://www.proficare-germany.de/pub/media/downloads/330170/de/bedienungsanleitung/PC-HT3017_IM.pdf,Operating instructions,Professional Hair dryer ,4006160301700,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-ht_3017_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-ht-3017-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3017
https://www.proficare-germany.de/pub/media/downloads/330170/de/produktdatenblatt/PC-HT 3017.pdf,Product data sheet,Professional Hair dryer ,4006160301700,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-ht_3017_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-ht-3017-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3017
https://www.proficare-germany.de/pub/media/downloads/330170/en/bedienungsanleitung/PC-HT3017_IM.pdf,Operating instructions,Professional Hair dryer ,4006160301700,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-ht_3017_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-ht-3017-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3017
https://www.proficare-germany.de/pub/media/downloads/330170/en/produktdatenblatt/PC-HT 3017_engl.pdf,Product data sheet,Professional Hair dryer ,4006160301700,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-ht_3017_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-ht-3017-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3017
https://www.proficare-germany.de/pub/media/downloads/330300/de/bedienungsanleitung/PC-HTD3030_IM.pdf,Operating instructions,Professional hair dryer ,4006160303001,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-htd_3030_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-htd-3030-blau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3030
https://www.proficare-germany.de/pub/media/downloads/330300/de/produktdatenblatt/PC-HTD 3030.pdf,Product data sheet,Professional hair dryer ,4006160303001,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-htd_3030_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-htd-3030-blau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3030
https://www.proficare-germany.de/pub/media/downloads/330300/en/bedienungsanleitung/PC-HTD3030_IM.pdf,Operating instructions,Professional hair dryer ,4006160303001,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-htd_3030_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-htd-3030-blau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3030
https://www.proficare-germany.de/pub/media/downloads/330300/en/produktdatenblatt/PC-HTD 3030_englisch.pdf,Product data sheet,Professional hair dryer ,4006160303001,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-htd_3030_01_72.png,https://www.proficare-germany.de/unsere-besten/proficare-profi-haartrockner-pc-htd-3030-blau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HT 3030
https://www.proficare-germany.de/pub/media/downloads/331030/de/bedienungsanleitung/PC-PW3103_Guarantee.pdf,Operating instructions,Bamboo bathroom scale ,4006160310306,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-pw_3103_02_72.jpg,https://www.proficare-germany.de/produkte/proficare-bambus-personenwaage-pc-pw-3103-bambus.html?___store=10,proficare-germany.de,ProfiCare,en,PC-PW 3103
https://www.proficare-germany.de/pub/media/downloads/331030/de/bedienungsanleitung/PC-PW3103_IM.pdf,Operating instructions,Bamboo bathroom scale ,4006160310306,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-pw_3103_02_72.jpg,https://www.proficare-germany.de/produkte/proficare-bambus-personenwaage-pc-pw-3103-bambus.html?___store=10,proficare-germany.de,ProfiCare,en,PC-PW 3103
https://www.proficare-germany.de/pub/media/downloads/331030/en/bedienungsanleitung/PC-PW3103_Guarantee.pdf,Operating instructions,Bamboo bathroom scale ,4006160310306,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-pw_3103_02_72.jpg,https://www.proficare-germany.de/produkte/proficare-bambus-personenwaage-pc-pw-3103-bambus.html?___store=10,proficare-germany.de,ProfiCare,en,PC-PW 3103
https://www.proficare-germany.de/pub/media/downloads/331030/en/bedienungsanleitung/PC-PW3103_IM.pdf,Operating instructions,Bamboo bathroom scale ,4006160310306,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-pw_3103_02_72.jpg,https://www.proficare-germany.de/produkte/proficare-bambus-personenwaage-pc-pw-3103-bambus.html?___store=10,proficare-germany.de,ProfiCare,en,PC-PW 3103
https://www.proficare-germany.de/pub/media/downloads/330990/de/bedienungsanleitung/PC-FM3099_Guarantee.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/330990/de/bedienungsanleitung/PC-FM3099_IM.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/330990/de/bedienungsanleitung/PC-FM3099_SI.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/330990/en/bedienungsanleitung/PC-FM3099_Guarantee.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/330990/en/bedienungsanleitung/PC-FM3099_IM.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/330990/en/bedienungsanleitung/PC-FM3099_SI.pdf,Operating instructions,Foot massager ,4006160309904,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-fm_3099_01_72_hitze.jpg,https://www.proficare-germany.de/produkte/proficare-fussmassagegerat-pc-fm-3099-titan-schwarz.html?___store=10,proficare-germany.de,ProfiCare,en,PC-FM 3099
https://www.proficare-germany.de/pub/media/downloads/331000/de/bedienungsanleitung/PC-HSMR3100_IM - 01.2022.pdf,Operating instructions,Professional hair and beard trimmer ,4006160310009,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-hsm_r_3100_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-profi-haar-batschneidemaschine-pc-hsm-r-3100-edelstahl.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HSM 3100
https://www.proficare-germany.de/pub/media/downloads/331000/de/bedienungsanleitung/PC-HSMR3100_IM - 01.2022.pdf,Operating instructions,Professional hair and beard trimmer ,4006160310009,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-hsm_r_3100_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-profi-haar-batschneidemaschine-pc-hsm-r-3100-edelstahl.html?___store=10,proficare-germany.de,ProfiCare,en,PC-R 3100
https://www.proficare-germany.de/pub/media/downloads/331000/en/bedienungsanleitung/PC-HSMR3100_IM - 01.2022.pdf,Operating instructions,Professional hair and beard trimmer ,4006160310009,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-hsm_r_3100_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-profi-haar-batschneidemaschine-pc-hsm-r-3100-edelstahl.html?___store=10,proficare-germany.de,ProfiCare,en,PC-HSM 3100
https://www.proficare-germany.de/pub/media/downloads/331000/en/bedienungsanleitung/PC-HSMR3100_IM - 01.2022.pdf,Operating instructions,Professional hair and beard trimmer ,4006160310009,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-hsm_r_3100_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-profi-haar-batschneidemaschine-pc-hsm-r-3100-edelstahl.html?___store=10,proficare-germany.de,ProfiCare,en,PC-R 3100
https://www.proficare-germany.de/pub/media/downloads/330970/de/bedienungsanleitung/PC-SNH3097_IM.pdf,Operating instructions,Shoulder/Neck heating pad ,4006160309706,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-snh_3097_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-schulter-nacken-heizkissen-pc-snh-3097-grau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-SNH 3097
https://www.proficare-germany.de/pub/media/downloads/330970/en/bedienungsanleitung/PC-SNH3097_IM.pdf,Operating instructions,Shoulder/Neck heating pad ,4006160309706,https://www.proficare-germany.de/pub/media/catalog/product/p/c/pc-snh_3097_01_72_notest.png,https://www.proficare-germany.de/produkte/proficare-schulter-nacken-heizkissen-pc-snh-3097-grau.html?___store=10,proficare-germany.de,ProfiCare,en,PC-SNH 3097
