file_urls,type,product,model,thumb,url,source,brand,product_lang
https://www.accumed.com.br/wp-content/uploads/2020/10/MGKTFR1BT-G-TECH-FREE-SMART.pdf,manuais,G-Tech Smart,Medidor Glicose Free Smart ,https://www.accumed.com.br/wp-content/uploads/2020/06/FREE1.png,https://www.accumed.com.br/downloads/?vp_filter=g_tech_smart, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2022/02/MGKTFLBT.pdf,manuais,G-Tech Smart,Medidor Glicose Lite Smart ,https://www.accumed.com.br/wp-content/uploads/2020/06/LITE1.png,https://www.accumed.com.br/downloads/?vp_filter=g_tech_smart, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2022/02/MGKTFR1.pdf,manuais,Linha Diabetes,Medidor Free ,https://www.accumed.com.br/wp-content/uploads/2018/08/F1-2-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=linha_diabetes, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2022/06/MGKTFL.pdf,manuais,Linha Diabetes,Monitor ,https://www.accumed.com.br/wp-content/uploads/2018/08/FL1-1-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=linha_diabetes, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/tiras-lite.pdf,manuais,Linha Diabetes,Tiras ,https://www.accumed.com.br/wp-content/uploads/2018/08/TFL1-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=linha_diabetes, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/tiras-free.pdf,manuais,Linha Diabetes,Tiras Free ,https://www.accumed.com.br/wp-content/uploads/2018/08/TF1-2.jpg,https://www.accumed.com.br/downloads/?vp_filter=linha_diabetes, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/ManualMA100.pdf,manuais,Aparelhos de pressão,MA100 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P1-2-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2022/03/BP3BK1.pdf,manuais,Aparelhos de pressão,BP3BK1 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P21-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/Manual-BP3AA1.pdf,manuais,Aparelhos de pressão,BP3AA1 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P19-3-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/Manual-BP3AF1.pdf,manuais,Aparelhos de pressão,BP3AF1 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P9-1-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2021/09/IM_BPSP11_REV07_060820.pdf,manuais,Aparelhos de pressão,BSP11 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P7-1-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
https://www.accumed.com.br/wp-content/uploads/2022/03/BPLA250.pdf,manuais,Aparelhos de pressão,LA250 ,https://www.accumed.com.br/wp-content/uploads/2018/08/P5-1-1.jpg,https://www.accumed.com.br/downloads/?vp_filter=aparelhos_de_pressao, accumed.com,G-Tech,pt
