file_urls,type,model,brand,product,thumb,url,source,product_lang
https://www.maxx-world.de/media/catalog/product/0/7/07660_inlay_de-en-fr-es-it_a6_ho_v1_gallin.pdf,Bedienungsanleitung,07660202451,Hoberg, Fenster,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/7/6/7660_01.jpg,https://www.maxx-world.de/marken/hoberg/hoberg-fenster-moskitonetz-150-x-130-cm,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/2/02026_inlay_de-en-fr-nl_a5_v1_os.pdf,Bedienungsanleitung,02026200100,MAXXMEE, Akku,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/2/0/2026_03.jpg,https://www.maxx-world.de/marken/maxxmee/maxxmee-akku-zyklon-staubsauger-3-fach-filter-verlaengerungsrohr-auf-bis-ca-80-cm-anthrazit-pink,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/1/01017_inlay_de-en-fr-nl_a5_v1_os.pdf,Bedienungsanleitung,01017200100,MAXXMEE, Akku,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/1/0/1017_12.jpg,https://www.maxx-world.de/marken/maxxmee/maxxmee-akku-rotationsmopp-rotierende-mikrofaserpads-weiss,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/4/04313_inlay_de-en-fr-nl_a5_v1_gallin.pdf,Bedienungsanleitung,04313200101,MAXXMEE, Akku,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/4/3/4313_02.jpg,https://www.maxx-world.de/marken/maxxmee/maxxmee-akku-rasentrimmer-1200-mah-gruen,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/7/07389_de-gb-fr-nl_a6_v1_gallin.pdf,Bedienungsanleitung,07389800400,VITALmaxx, Kabelloses Springseil mit Trainingscomputer,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/7/3/7389_02.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-kabelloses-springseil-mit-trainingscomputer,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/6/06200_de-en-fr-nl_a6_v1_gallin.pdf,Bedienungsanleitung,06200200425,VITALmaxx, Hornhautentferner mit Saugfunktion ,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/6/2/6200_04.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-hornhautentferner-mit-saugfunktion-weiss-tuerkis,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/2/02844_de-en-fr-nl_a5_v3_gallin.pdf,Bedienungsanleitung,02844200425,VITALmaxx, Heizdecke Nacken & Rücken 2in1 100W ,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/2/8/2844_02.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-heizdecke-nacken-ruecken-2in1-100w-anthrazit,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/1/01504_de-en-fr-nl_a5_v6_os.pdf,Bedienungsanleitung,01504100118,VITALmaxx, Heimtrainer mit magnetischer Bremse in Limegreen/Weiß,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/1/5/1504_02.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-heimtrainer-mit-magnetischer-bremse-in-limegreen-weiss,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/7/07402_de-gb-fr-nl_a5_v1_1_gallin.pdf,Bedienungsanleitung,07402200325,VITALmaxx, Bandage Knöchel mit Kupferfasern ,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/7/4/7402_03_1.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-bandage-knoechel-mit-kupferfasern-weiss,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/7/07401_de-en-fr-nl_a4_v2_gallin.pdf,Bedienungsanleitung,07401200325,VITALmaxx, Bandage Knie mit Kupferfasern ,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/7/4/7401_03_1.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-bandage-knie-mit-kupferfasern-weiss,maxx-world.de,de
