file_urls,type,product,thumb,url,source,brand,product_lang,model
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1897/ContentDownload?h=THETFORD_CassetteToilet_infographic_EN-0718.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/904/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C263_CSL_-_plastic_-_MAIN&s=8f73c55c8e41233cfe7ea81bd11888dc,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c263-csl-plastic,thetford-europe.com,Thetford,en,C263-CSL 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/758/ContentDownload?h=EN_-_Lookalike_lip_seals.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/904/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C263_CSL_-_plastic_-_MAIN&s=8f73c55c8e41233cfe7ea81bd11888dc,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c263-csl-plastic,thetford-europe.com,Thetford,en,C263-CSL 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/42/ContentDownload?h=bb8c0c251ab195b61dd5cec41ac87a36547a43b092f3375c4ccf59c19d4f6610,Installation manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/904/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C263_CSL_-_plastic_-_MAIN&s=8f73c55c8e41233cfe7ea81bd11888dc,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c263-csl-plastic,thetford-europe.com,Thetford,en,C263-CSL 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/33/ContentDownload?h=C260_UM_EN_93462-0918-V03.pdf,User manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/904/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C263_CSL_-_plastic_-_MAIN&s=8f73c55c8e41233cfe7ea81bd11888dc,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c263-csl-plastic,thetford-europe.com,Thetford,en,C263-CSL 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1871/ContentDownload?h=EN_-_Lookalike_lip_seals.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en,C2 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1871/ContentDownload?h=EN_-_Lookalike_lip_seals.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en, C3 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1871/ContentDownload?h=EN_-_Lookalike_lip_seals.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en, C4 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1860/ContentDownload?h=C234_UM_29347-0106.pdf,User manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en,C2 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1860/ContentDownload?h=C234_UM_29347-0106.pdf,User manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en, C3 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1860/ContentDownload?h=C234_UM_29347-0106.pdf,User manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/1004/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C2_%2F_C3_%2F_C4_-_MAIN&s=302f48970740d99bdde4a241d7a9dc00,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c2-c3-c4-no-longer-available,thetford-europe.com,Thetford,en, C4 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1880/ContentDownload?h=056e93d955998cb790600871b7780082b092f29c3cee845652c9509c55b6c9a3,User manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/932/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C200-CS_-_MAIN&s=a9fb38f509b466b41056b20c7616dc67,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c200-cs-no-longer-available,thetford-europe.com,Thetford,en,C200-CS 
https://dffppahacqx22.cloudfront.net/api/v1/Document/976/ContentDownload?h=9687e857c46f78323e05a33f3ae65c2cb7106e05c5c71bfa32c1d2877e5f61b3,Installation manual,Cassette toilets,https://thetfordeurope.imgix.net/Document/932/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C200-CS_-_MAIN&s=a9fb38f509b466b41056b20c7616dc67,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c200-cs-no-longer-available,thetford-europe.com,Thetford,en,C200-CS 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1834/ContentDownload?h=EN_-_Lookalike_lip_seals.pdf,Miscellaneous,Cassette toilets,https://thetfordeurope.imgix.net/Document/932/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=C200-CS_-_MAIN&s=a9fb38f509b466b41056b20c7616dc67,https://www.thetford-europe.com/gb/products/toilets/cassette-toilets/c200-cs-no-longer-available,thetford-europe.com,Thetford,en,C200-CS 
