Type,brand,file_urls,model,product,product_lang,source,thumb,url
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Outdoor_Elements_II_24323_24324_24325_24326_OM.pdf?v=1618904489, Outdoor Elements II ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-outdoor-elements-ii-137cm-690264_5000x.jpg?v=1631664320,https://hunterfan.de/en/products/hunter-elements-ii-deckenventilator-1
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Maribel_50555_50557_OM.pdf?v=1618904490, Maribel ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-maribel-132cm-445307_5000x.jpg?v=1631664336,https://hunterfan.de/en/products/hunter-maribel-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Galileo_50620_50621_OM.pdf?v=1618904489, Galileo ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-galileo-122cm-621424_5000x.jpg?v=1631664329,https://hunterfan.de/en/products/hunter-galileo-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Industrie_II_24542_24545_24547_OM.pdf?v=1618904489, Industrie II ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-industrie-ii-132cm-144108_5000x.jpg?v=1631664328,https://hunterfan.de/en/products/hunter-industrie-ii-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Low_Profile_II_24372_27377_OM.pdf?v=1618904489, Low Profile III 132cm plus ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-low-profile-iii-132cm-plus-112cm-117890_5000x.jpg?v=1631664328,https://hunterfan.de/en/products/hunter-low-profile-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Kennicott_owners_manual_fb09105d-f56a-42bb-957f-f33457f632f0.pdf?v=1625566117, Kennicott ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-kennicott-112cm-326070_5000x.jpg?v=1631702956,https://hunterfan.de/en/products/hunter-kennicott-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Finley_50644_50643_OM.pdf?v=1618904489, Finley ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-finley-91-cm-772210_5000x.jpg?v=1631702892,https://hunterfan.de/en/products/hunter-finley-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Nova_50616_50617_OM.pdf?v=1618904491, Nova ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-nova-107cm-426194_5000x.jpg?v=1631664329,https://hunterfan.de/en/products/hunter-nova-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Flight_50630_OM.pdf?v=1618904489, Flight ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-flight-132cm-542511_5000x.jpg?v=1631664323,https://hunterfan.de/en/products/hunter-flight-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Dante_50628_50629_OM.pdf?v=1618904489, Dante ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-dante-112cm-561299_5000x.jpg?v=1631703045,https://hunterfan.de/en/products/hunter-dante-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Contempo_50612_50613_OM.pdf?v=1618904489, Contempo ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-contempo-132cm-838536_5000x.jpg?v=1631664293,https://hunterfan.de/en/products/hunter-contempo-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Carera_24241_24243_24246_OM.pdf?v=1618904489, Carera ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-carera-132cm-541128_5000x.jpg?v=1631664276,https://hunterfan.de/en/products/hunter-carera-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Caribbean_Breeze_24457_OM.pdf?v=1618904489, Caribbean Breeze ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-caribbean-breeze-137cm-149606_5000x.jpg?v=1631702825,https://hunterfan.de/en/products/hunter-caribbean-breeze-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Builder_Plus_50560_50561_50562_OM.pdf?v=1618904489, Builder Plus ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-builder-plus-132cm-977804_5000x.jpg?v=1631702727,https://hunterfan.de/en/products/hunter-builder-plus-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Cabo_Frio_50634_50635_50638_OM.pdf?v=1618904489, Cabo Frio ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-cabo-frio-132cm-564625_5000x.jpg?v=1631664278,https://hunterfan.de/en/products/hunter-cabo-frio-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Builder_Deluxe_50570_50571_50572_OM.pdf?v=1618904489, Builder Deluxe ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-builder-deluxe-132cm-449094_5000x.jpg?v=1631702529,https://hunterfan.de/en/products/hunter-builder-deluxe-deckenventilator-mit-licht
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Bayport_24170_24174_24179_OM.pdf?v=1618904490, Bayport ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-bayport-107cm-698382_5000x.jpg?v=1631664279,https://hunterfan.de/en/products/hunter-bayport-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Arcot_50646_50647_OM.pdf?v=1618904489, Arcot ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-arcot-117cm-771604_5000x.jpg?v=1631664301,https://hunterfan.de/en/products/hunter-arcot-deckenventilator
Operating Manual,Hunter,https://cdn.shopify.com/s/files/1/0542/0698/8471/files/Hunter_Fan_Builder_Elite_50565_50566_50567_OM.pdf?v=1618904492, Builder Elite ,Ceiling Fan,en,hunterfan.de,http://cdn.shopify.com/s/files/1/0542/0698/8471/products/hunter-deckenventilator-builder-elite-132cm-522328_5000x.jpg?v=1631702782,https://hunterfan.de/en/products/hunter-builder-elite-deckenventilator
