file_urls,type,model,product,product_parent,thumb,url,source,brand,product_lang
"https://www.genie-online.de/uploads/datasheet/40022_Data sheet_GENIE Textmarker, 5x sortiert, UK GO.pdf",Datenblatt EN,Highlighter,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40022.png,https://www.genie-online.de/product/Text-marker-sorted-1-x-Neon-yellow-orange-pink-blue-green-with-wedge-tip-Pack-of-5-width-approx.-1-5-mm-individually-removable/188?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40020_Datenblatt_GENIE Textmarker, 3x Gelb, DE GO.pdf",Datenblatt DE,Highlighter,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40020.png,https://www.genie-online.de/product/Text-marker-yellow-3-x-Neon-yellow-with-wedge-tip-Pack-of-3-width-approx.-1-5-mm-individually-Removable/187?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40020_Data sheet_GENIE Textmarker, 3x Gelb, UK GO.pdf",Datenblatt EN,Highlighter,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40020.png,https://www.genie-online.de/product/Text-marker-yellow-3-x-Neon-yellow-with-wedge-tip-Pack-of-3-width-approx.-1-5-mm-individually-Removable/187?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40024_Datenblatt_GENIE Textmarker, 8x sortiert, DE GO.pdf",Datenblatt DE,Highlighter,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40024.png,https://www.genie-online.de/product/Text-marker-sorted-4-x-neon-yellow-and-1-x-orange-pink-blue-green-with-wedge-tip-Pack-of-8-width-approx.-1-5-mm-individually-removable/189?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40024_Data sheet_GENIE Textmarker, 8x sortiert, UK GO.pdf",Datenblatt EN,Highlighter,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40024.png,https://www.genie-online.de/product/Text-marker-sorted-4-x-neon-yellow-and-1-x-orange-pink-blue-green-with-wedge-tip-Pack-of-8-width-approx.-1-5-mm-individually-removable/189?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40034_Datenblatt_GENIE Permanent Marker, 4x blau, DE GO.pdf",Datenblatt DE,Permanant Marker,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40034.png,https://www.genie-online.de/product/Permanent-marker-black-Pack-of-4-with-1-3-mm-round-tip-and-metal-shank/193?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40034_Data sheet_GENIE Permanent Marker 4x blau, UK GO.pdf",Datenblatt EN,Permanant Marker,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40034.png,https://www.genie-online.de/product/Permanent-marker-black-Pack-of-4-with-1-3-mm-round-tip-and-metal-shank/193?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40000_Datenblatt_GENIE Kugelschreiber, DE GO.pdf",Datenblatt DE,Ballpoint,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40000.png,https://www.genie-online.de/product/GENIE-Ballpoint-pen-sorted-Content-20-x-black-20-x-blue-and-10-x-red/181?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40000_Data sheet_GENIE Kugelscheiber, UK GO.pdf",Datenblatt EN,Ballpoint,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40000.png,https://www.genie-online.de/product/GENIE-Ballpoint-pen-sorted-Content-20-x-black-20-x-blue-and-10-x-red/181?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40002_Datenblatt_GENIE Druckkugelschreiber, DE GO.pdf",Datenblatt DE,Ballpoint,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40002.png,https://www.genie-online.de/product/Ballpoint-pen-sorted-Pack-of-12-4-x-black-4-x-blue-2-x-red-and-2-x-green/182?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/40002_Data sheet_GENIE Druckkugelscheiber, UK GO.pdf",Datenblatt EN,Ballpoint,Pens,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/40002.png,https://www.genie-online.de/product/Ballpoint-pen-sorted-Pack-of-12-4-x-black-4-x-blue-2-x-red-and-2-x-green/182?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12544_Datenblatt_Stempel_ S-502, DE GO.pdf",Datenblatt DE,S-502,Stamp,Office Supplies,https://www.genie-online.de/uploads/productimages_big/12544.png,https://www.genie-online.de/product/Self-inking-stamp-set-with-up-to-5-lines/180?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12544_Data Sheet_Stempel_ S-502, UK GO.pdf",Datenblatt EN,S-502,Stamp,Office Supplies,https://www.genie-online.de/uploads/productimages_big/12544.png,https://www.genie-online.de/product/Self-inking-stamp-set-with-up-to-5-lines/180?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12542_Data Sheet_Stempel_ S-402, UK GO.pdf",Datenblatt EN,S-402,Stamp,Office Supplies,https://www.genie-online.de/uploads/productimages_big/12542.png,https://www.genie-online.de/product/Self-inking-stamp-set-with-up-to-4-lines/179?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11377_Datenblatt_GENIE S-884, DE GO.pdf",Datenblatt DE,S-884,Stamp,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11377.png,https://www.genie-online.de/product/Self-inking-stamp-set-with-up-to-5-lines/178?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11377_Data Sheet_GENIE S-884, UK GO.pdf",Datenblatt EN,S-884,Stamp,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11377.png,https://www.genie-online.de/product/Self-inking-stamp-set-with-up-to-5-lines/178?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11004_Data Sheet_GENIE Rotator, UK GO.pdf",Datenblatt DE,Rotator,Various,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11004.png,https://www.genie-online.de/product/Rotary-card-for-400-business-cards/176?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/11004_Datenblatt_GENIE Rotator, DE GO.pdf",Datenblatt EN,Rotator,Various,Office Supplies,https://www.genie-online.de/uploads/productimages_big/11004.png,https://www.genie-online.de/product/Rotary-card-for-400-business-cards/176?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12444_Datenblatt_GENIE Schreibmappe Frankfurt, DE GO.pdf",Datenblatt DE,Conference Folder Frankfurt,Conference Folder,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/12444.png,https://www.genie-online.de/product/A4-Conference-Folder-Frankfurt-in-leather-look-and-structured-nylon-with-removable-ring-binder./169?_escaped_fragment_=support,genie-online.de,Genie,de
"https://www.genie-online.de/uploads/datasheet/12444_Data Sheet_GENIE Schreibmappe Frankfurt, UK GO.pdf",Datenblatt EN,Conference Folder Frankfurt,Conference Folder,Writeing & Organization,https://www.genie-online.de/uploads/productimages_big/12444.png,https://www.genie-online.de/product/A4-Conference-Folder-Frankfurt-in-leather-look-and-structured-nylon-with-removable-ring-binder./169?_escaped_fragment_=support,genie-online.de,Genie,de
