Type,brand,file_urls,model,product,product_lang,source,thumb,url
Инструкция ,Scarlett,scarlett.ru/ajax/files/12039/216e260dfe3c98975a6879c6910bac03/,sc-hs60597,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/e9d/1000_1500_1/SC_HS60597_ov.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60597/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12181/b625176d218340e83d168cebe9b2d98d/,sc-hs60t52,Щипцы для волос 2в1,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/0de/1000_1500_1/SC_HS60T52_open.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60t52/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12035/047906cabbc807089e8aba68105a49fd/,sc-hs60005,ЩИПЦЫ ДЛЯ ВЫПРЯМЛЕНИЯ ВОЛОС,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/568/1000_1500_1/SC_HS60005_bronze_12_04_19.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60005/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12037/2f592b6ddeb38b7971254a25f2a2505a/,sc-hs60596,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/edf/1000_1500_1/SC_HS60596.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60596/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11965/b03c897f2deccc20c0e83d93415551e4/,sc-hs60004,ЩИПЦЫ ДЛЯ ВЫПРЯМЛЕНИЯ ВОЛОС,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/00b/1000_1500_1/SC_HS60004_Black.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60004/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11939/9a643fbad04d2fd2e6baadaf7012e457/,sc-hs60605,Стайлер для волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/ab0/1000_1500_1/SC_HS60605.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60605/
Инструкция ,Scarlett,scarlett.ru/ajax/files/170885/9b0dce3763f35b2e8b4e235ac504de0f/,sc-hs60606,Щипцы для выпрямления волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/ebd/1000_1500_1/0001_SC_HS60606_1.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60606/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11938/7b7619b01e5b4ea9bdaddbf39f170e54/,sc-hs60603,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/865/1000_1500_1/SC_HS60603.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60603/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11905/e69c6f4e0f131ed358836a4e2a313e81/,sc-hs60591,Стайлер для волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/6c7/1000_1500_1/SC_HS60591.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60591/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11808/9f8dca544607e9d32a5482b07aaefae9/,sc-hs60498,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/1f3/sc-hs60498.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60498/
