file_urls,type,product,product_parent,model,thumb,url,source,brand,product_lang
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/VKET-3800-0-UserManual-BG.pdf,Ръководство,Плотове VarioLine,ГОТВАРСКИ ПЛОТОВЕ,VKET3800.0 SR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61561BI29689_122630004_VKET3800_0SR_SZ7.png,https://www.home-kueppersbusch.com/bg-bg/product/vket3800-0-sr_122630004/,home-kueppersbusch.com,Küppersbusch,bg
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/DEF-6550-9550-UserManual-BG.pdf,Ръководство,Телескопични абсорбатори slimeline,АБСОРБАТОРИ,DEF9550.0E,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR70163BI29614_123070001_DEF9550_0E_SZ7.png,https://www.home-kueppersbusch.com/bg-bg/product/def9550-0e_123070001/,home-kueppersbusch.com,Küppersbusch,bg
http://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/GX6500.0v-DE-EUEnergyfiche.pdf,EU Datenblatt,60cm XXL,GESCHIRRSPÜLER,GX6500.0v,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR71074BI29645_124270006_GX6500_0v_SZ7.png,https://www.home-kueppersbusch.com/de-de/product/gx6500-0v_124270006/,home-kueppersbusch.com,Küppersbusch,de
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/GWS3811.0ED-ProductSheet-ES.pdf,Ficha de producto,Gas,PLACAS,GWS 3811.0ED,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61565BI29644_122630006_GWS3811_0ED_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/gws3811-0ed_122630006/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/GKS3820.0ED-ProductSheet-ES.pdf,Ficha de producto,Gas,PLACAS,GKS 3820.0ED,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61563BI29641_122630005_GKS3820_0ED_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/gks3820-0ed_122630005/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CSV6800.0-ProductSheet-ES.pdf,Ficha de producto,Calientaplatos,HORNOS,CSV 6800.0,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR70073BI30818_121600000_CSV6800_0_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/csv6800-0_121600000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CSW6800.0-ProductSheet-ES.pdf,Ficha de producto,Calientaplatos,HORNOS,CSW 6800.0,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61413BI29604_121600001_CSW6800_0_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/csw6800-0_121600001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/GKS9851.0ED-ProductSheet-ES.pdf,Ficha de producto,Gas,PLACAS,GKS 9851.0ED,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61553BI29642_122560000_GKS9851_0ED_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/gks9851-0ed_122560000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CKV6550.0-ES-Manual.pdf,Manual de instrucciones,Cafeteras,HORNOS,CKV 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61262BI29594_121640001_CKV6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/ckv6550-0s_121640001/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CKV6550.0S-ProductSheet-ES.pdf,Ficha de producto,Cafeteras,HORNOS,CKV 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61262BI29594_121640001_CKV6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/ckv6550-0s_121640001/,home-kueppersbusch.com,Küppersbusch,es
